Wyniki dla SIZE_OF_MAP = 75 NUMBER_OF_NODES = 1875 NUMBER_OF_CONNECTIONS = 7500
Czas dijkstra 	 czas A* 	 odleglosc dijkstra 	 odleglosc A*
0.088999999999999995781	0.041000000000000001721	192	376
0.076999999999999999001	0.042999999999999996558	148	148
0.08300000000000000433	0.042000000000000002609	148	148
0.089999999999999996669	0.042999999999999996558	204	250
0.088999999999999995781	0.044999999999999998335	160	232
0.10000000000000000555	0.042999999999999996558	198	232
0.084000000000000005218	0.044999999999999998335	170	414
0.087999999999999994893	0.043999999999999997446	192	218
0.10000000000000000555	0.043999999999999997446	170	170
0.10000000000000000555	0.051999999999999997613	170	192
0.094000000000000000222	0.045999999999999999223	200	234
0.092999999999999999334	0.047000000000000000111	164	342
0.088999999999999995781	0.045999999999999999223	170	258
0.088999999999999995781	0.044999999999999998335	172	300
0.086999999999999994005	0.044999999999999998335	210	272
0.070000000000000006661	0.041000000000000001721	148	174
0.087999999999999994893	0.044999999999999998335	222	362
0.098000000000000003775	0.051999999999999997613	166	246
0.088999999999999995781	0.049000000000000001887	186	198
0.086999999999999994005	0.043999999999999997446	194	216
0.091999999999999998446	0.043999999999999997446	192	254
0.087999999999999994893	0.042999999999999996558	176	248
0.086999999999999994005	0.042999999999999996558	194	220
0.085999999999999993117	0.042999999999999996558	186	664
0.089999999999999996669	0.041000000000000001721	194	236
0.096000000000000001998	0.041000000000000001721	184	384
0.085000000000000006106	0.045999999999999999223	148	148
0.11200000000000000233	0.06500000000000000222	188	540
0.115000000000000005	0.043999999999999997446	212	350
0.099000000000000004663	0.050999999999999996725	172	176
0.085000000000000006106	0.043999999999999997446	176	304
0.092999999999999999334	0.050999999999999996725	174	202
0.086999999999999994005	0.043999999999999997446	164	384
0.09500000000000000111	0.042000000000000002609	170	346
0.091999999999999998446	0.044999999999999998335	174	190
0.084000000000000005218	0.042000000000000002609	180	240
0.087999999999999994893	0.048000000000000000999	148	148
0.094000000000000000222	0.049000000000000001887	148	262
0.09500000000000000111	0.047000000000000000111	200	226
0.096000000000000001998	0.047000000000000000111	158	192
0.092999999999999999334	0.048000000000000000999	200	258
0.094000000000000000222	0.045999999999999999223	194	316
0.085999999999999993117	0.042999999999999996558	196	344
0.058000000000000002942	0.043999999999999997446	148	148
0.070000000000000006661	0.042000000000000002609	178	318
0.089999999999999996669	0.042000000000000002609	242	260
0.10499999999999999611	0.053999999999999999389	170	658
0.09500000000000000111	0.044999999999999998335	200	278
0.089999999999999996669	0.045999999999999999223	156	208
0.10000000000000000555	0.050999999999999996725	208	278
