Wyniki dla SIZE_OF_MAP = 100 NUMBER_OF_NODES = 3333 NUMBER_OF_CONNECTIONS = 3333
Czas dijkstra 	 czas A* 	 odleglosc dijkstra 	 odleglosc A*
0.033000000000000001554	0.045999999999999999223	584	1894
0	0	19800	19800
0.049000000000000001887	0.049000000000000001887	840	936
0.028000000000000000583	0.045999999999999999223	596	1118
0.045999999999999999223	0.048000000000000000999	834	1666
0.047000000000000000111	0.051999999999999997613	754	1372
0.016000000000000000333	0.049000000000000001887	976	1596
0	0	19800	19800
0.049000000000000001887	0.049000000000000001887	19800	19800
0.02999999999999999889	0.050999999999999996725	686	1294
0	0	19800	19800
0.016000000000000000333	0.045999999999999999223	558	1908
0.045999999999999999223	0.048000000000000000999	822	1340
0.025999999999999998807	0.050000000000000002776	562	1218
0	0	19800	19800
0.0080000000000000001665	0.048000000000000000999	502	1382
0.042000000000000002609	0.049000000000000001887	672	1610
0.044999999999999998335	0.049000000000000001887	900	2582
0.047000000000000000111	0.048000000000000000999	1002	1602
0.0070000000000000001457	0.048000000000000000999	416	3070
0.034000000000000002442	0.050999999999999996725	688	1030
0.042999999999999996558	0.049000000000000001887	664	1520
0.022999999999999999611	0.045999999999999999223	768	1190
0.01200000000000000025	0.048000000000000000999	644	1172
0.042999999999999996558	0.050999999999999996725	1038	1370
0.041000000000000001721	0.045999999999999999223	940	2262
0.035000000000000003331	0.049000000000000001887	694	824
0.0040000000000000000833	0.043999999999999997446	500	1712
0	0	19800	19800
0.040000000000000000833	0.047000000000000000111	914	1896
0.042000000000000002609	0.048000000000000000999	770	1960
0.032000000000000000666	0.043999999999999997446	618	1830
0.029000000000000001471	0.045999999999999999223	682	1072
0.036999999999999998168	0.048000000000000000999	668	3084
0	0	19800	19800
0.041000000000000001721	0.047000000000000000111	694	1052
0	0	19800	19800
0	0	19800	19800
0.044999999999999998335	0.044999999999999998335	1134	5196
0.042999999999999996558	0.049000000000000001887	842	2060
0	0	19800	19800
0	0	19800	19800
0.020000000000000000416	0.048000000000000000999	506	1086
0.044999999999999998335	0.048000000000000000999	770	1108
0.010000000000000000208	0.045999999999999999223	658	1414
0.028000000000000000583	0.047000000000000000111	674	1926
0	0	19800	19800
0.021000000000000001305	0.044999999999999998335	684	2130
0.048000000000000000999	0.047000000000000000111	19800	19800
0.043999999999999997446	0.045999999999999999223	692	692
