Wyniki dla SIZE_OF_MAP = 100 NUMBER_OF_NODES = 3333 NUMBER_OF_CONNECTIONS = 3333
Czas dijkstra 	 czas A* 	 odleglosc dijkstra 	 odleglosc A*
0.021000000000000001305	0.049000000000000001887	875.51839591231305349	1225.272816122572749
0.037999999999999999056	0.051999999999999997613	1048.3607018100283312	3695.5966806664464457
0.044999999999999998335	0.045999999999999999223	15508.328635607900651	15508.328635607900651
0.0030000000000000000625	0.047000000000000000111	622.41161344352133256	832.14314542931469987
0.042000000000000002609	0.049000000000000001887	956.60915790155752347	3138.0015673965867791
0	0.047000000000000000111	340.22741253341183665	340.22741253341183665
0.049000000000000001887	0.050000000000000002776	1205.8510502855419873	1418.3976803957796164
0.035000000000000003331	0.049000000000000001887	1080.264094858988301	3285.0306295060536286
0.048000000000000000999	0.045999999999999999223	21203.387688923736278	21203.387688923736278
0.010999999999999999362	0.047000000000000000111	958.51064013096902272	2363.0980017477868387
0.050000000000000002776	0.051999999999999997613	1134.1040373228699991	2204.2234169520338583
0.042999999999999996558	0.045999999999999999223	1168.5266096398506761	2057.8086180424775193
0.044999999999999998335	0.048000000000000000999	1228.9412954444692332	3183.1727807822467184
0.036999999999999998168	0.051999999999999997613	971.479011524100315	3083.2802437013933741
0.0070000000000000001457	0.050000000000000002776	653.62125563871268241	704.09264611053458793
0.048000000000000000999	0.049000000000000001887	20619.568602647912485	20619.568602647912485
0	0	20585.693057129556109	20585.693057129556109
0.047000000000000000111	0.048000000000000000999	1480.133249509067582	4771.2587429804007115
0.010999999999999999362	0.048000000000000000999	1075.0564478949520435	2429.8052127553969513
0	0	21638.581634051457513	21638.581634051457513
0.040000000000000000833	0.048000000000000000999	1063.6648051438148741	1140.7639104111531196
0	0	22238.575530349560722	22238.575530349560722
0.034000000000000002442	0.051999999999999997613	1079.3379948667693498	1963.8559258851673803
0.028000000000000000583	0.048000000000000000999	914.68002759607202279	3082.5099567531096909
0.052999999999999998501	0.047000000000000000111	1471.5168394598017585	3084.3372825966621349
0.030999999999999999778	0.049000000000000001887	964.05273011530027816	3278.9771120771724782
0	0	20398.004223852170981	20398.004223852170981
0.049000000000000001887	0.050000000000000002776	1629.6287334905036914	6485.1979145836057796
0	0	21159.746220373061078	21159.746220373061078
0.03599999999999999728	0.051999999999999997613	1242.9957661275871033	2770.2462217646666431
0.014000000000000000291	0.049000000000000001887	1024.7159731381689198	2090.6854637629144236
0.043999999999999997446	0.048000000000000000999	1615.6278201675286255	3317.8739069540642959
0.017000000000000001221	0.049000000000000001887	831.89525643595709425	831.89525643595709425
0.014000000000000000291	0.047000000000000000111	977.9868317315637114	1933.7970686374935667
0.048000000000000000999	0.048000000000000000999	17744.419824914217315	17744.419824914217315
0.049000000000000001887	0.048000000000000000999	1377.1666109841783054	4259.3950054944316435
0.047000000000000000111	0.049000000000000001887	19336.875649371751933	19336.875649371751933
0.00899999999999999932	0.050000000000000002776	785.42649840163835506	785.42649840163835506
0.012999999999999999403	0.045999999999999999223	1376.2022224940947126	1376.2022224940947126
0	0	20307.364250708458712	20307.364250708458712
0.02999999999999999889	0.049000000000000001887	1144.1365488745777839	2360.8822192975530925
0	0	23315.878914852262824	23315.878914852262824
0.043999999999999997446	0.050999999999999996725	983.8770764979606156	1403.4670711824562659
0.042999999999999996558	0.049000000000000001887	1596.7843702135135118	2914.3723436870714067
0	0	21420.984661487596895	21420.984661487596895
0.043999999999999997446	0.047000000000000000111	1277.6764404064538212	3443.7780189152967978
0.042999999999999996558	0.049000000000000001887	1096.4353979425065972	3762.4916406365591683
0	0	21879.677858911836665	21879.677858911836665
0.049000000000000001887	0.047000000000000000111	16284.109146487749967	16284.109146487749967
0.018999999999999999528	0.048000000000000000999	680.49411160246961572	1356.6278936000837803
