Wyniki dla SIZE_OF_MAP = 15 NUMBER_OF_NODES = 75 NUMBER_OF_CONNECTIONS = 300
Czas dijkstra 	 czas A* 	 odleglosc dijkstra 	 odleglosc A*
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0.0010000000000000000208	0	28	28
0	0.0010000000000000000208	32	46
0	0	28	30
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0.0010000000000000000208	0	30	30
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0.0010000000000000000208	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	32
0	0	28	28
0.0010000000000000000208	0	28	28
0.0010000000000000000208	0	28	28
0	0.0010000000000000000208	28	28
0	0	28	28
0	0	28	28
0.0010000000000000000208	0	28	32
0.0010000000000000000208	0	28	28
0	0.0010000000000000000208	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0.0010000000000000000208	0	28	28
0	0.0010000000000000000208	28	28
0	0	28	30
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0	0	28	28
0.0010000000000000000208	0	28	28
0	0.0010000000000000000208	28	28
0	0.0010000000000000000208	28	28
0	0	28	28
