Wyniki dla SIZE_OF_MAP = 50 NUMBER_OF_NODES = 833 NUMBER_OF_CONNECTIONS = 833
Czas dijkstra 	 czas A* 	 odleglosc dijkstra 	 odleglosc A*
0.0020000000000000000416	0.0030000000000000000625	338	338
0.0030000000000000000625	0.0030000000000000000625	478	970
0	0	9800	9800
0.0030000000000000000625	0.0030000000000000000625	306	310
0.0020000000000000000416	0.0030000000000000000625	388	388
0.0030000000000000000625	0.0030000000000000000625	272	472
0.0030000000000000000625	0.0030000000000000000625	554	1532
0	0	9800	9800
0.0030000000000000000625	0.0030000000000000000625	338	338
0.0010000000000000000208	0.0030000000000000000625	160	160
0.0010000000000000000208	0.0030000000000000000625	198	302
0.0030000000000000000625	0.0030000000000000000625	9800	9800
0.0030000000000000000625	0.0030000000000000000625	242	404
0.0030000000000000000625	0.0030000000000000000625	432	708
0.0020000000000000000416	0.0030000000000000000625	266	338
0.0030000000000000000625	0.0030000000000000000625	498	628
0	0	9800	9800
0.0030000000000000000625	0.0030000000000000000625	9800	9800
0.0020000000000000000416	0.0040000000000000000833	410	490
0.0030000000000000000625	0.0030000000000000000625	246	396
0	0.0020000000000000000416	200	362
0	0.0030000000000000000625	294	942
0	0	9800	9800
0	0	9800	9800
0.0030000000000000000625	0.0030000000000000000625	420	912
0.0010000000000000000208	0.0030000000000000000625	246	634
0.0030000000000000000625	0.0030000000000000000625	318	634
0.0030000000000000000625	0.0030000000000000000625	9800	9800
0.0030000000000000000625	0.0030000000000000000625	9800	9800
0.0010000000000000000208	0.0020000000000000000416	160	390
0.0020000000000000000416	0.0030000000000000000625	268	268
0.0010000000000000000208	0.0030000000000000000625	328	628
0	0	9800	9800
0.0020000000000000000416	0.0030000000000000000625	226	226
0.0020000000000000000416	0.0030000000000000000625	314	1166
0	0.0030000000000000000625	248	362
0.0030000000000000000625	0.0030000000000000000625	352	436
0.0020000000000000000416	0.0020000000000000000416	252	346
0.0020000000000000000416	0.0020000000000000000416	312	594
0.0030000000000000000625	0.0030000000000000000625	350	428
0	0	9800	9800
0	0	9800	9800
0	0.0030000000000000000625	178	178
0.0030000000000000000625	0.0030000000000000000625	318	580
0.0030000000000000000625	0.0040000000000000000833	238	568
0.0020000000000000000416	0.0020000000000000000416	286	546
0	0.0030000000000000000625	122	122
0	0	9800	9800
0.0020000000000000000416	0.0040000000000000000833	292	378
0	0.0030000000000000000625	204	204
