Wyniki dla SIZE_OF_MAP = 75 NUMBER_OF_NODES = 1875 NUMBER_OF_CONNECTIONS = 1875
Czas dijkstra 	 czas A* 	 odleglosc dijkstra 	 odleglosc A*
0.0010000000000000000208	0.017000000000000001221	260	460
0	0	14800	14800
0	0	14800	14800
0.014000000000000000291	0.017000000000000001221	714	902
0.0010000000000000000208	0.017000000000000001221	454	984
0.014000000000000000291	0.01799999999999999864	14800	14800
0	0	14800	14800
0.00899999999999999932	0.017000000000000001221	436	1026
0	0	14800	14800
0	0	14800	14800
0.014000000000000000291	0.017000000000000001221	14800	14800
0.0030000000000000000625	0.017000000000000001221	336	354
0.01200000000000000025	0.017000000000000001221	496	2168
0.01200000000000000025	0.014999999999999999445	466	578
0.014000000000000000291	0.016000000000000000333	14800	14800
0.014999999999999999445	0.016000000000000000333	612	1976
0.01200000000000000025	0.017000000000000001221	618	1310
0	0	14800	14800
0	0	14800	14800
0	0.01799999999999999864	218	218
0.0060000000000000001249	0.016000000000000000333	404	648
0.01200000000000000025	0.017000000000000001221	660	710
0.0070000000000000001457	0.017000000000000001221	384	1072
0.016000000000000000333	0.016000000000000000333	540	886
0.014000000000000000291	0.01799999999999999864	808	2972
0.014000000000000000291	0.017000000000000001221	14800	14800
0.010999999999999999362	0.014999999999999999445	460	1418
0.012999999999999999403	0.017000000000000001221	540	1414
0.00899999999999999932	0.017000000000000001221	482	730
0.0080000000000000001665	0.01799999999999999864	448	644
0.010000000000000000208	0.016000000000000000333	446	764
0.01799999999999999864	0.016000000000000000333	14800	14800
0.014999999999999999445	0.017000000000000001221	14800	14800
0.014000000000000000291	0.017000000000000001221	14800	14800
0.0080000000000000001665	0.017000000000000001221	436	1084
0.0020000000000000000416	0.017000000000000001221	418	418
0	0.017000000000000001221	344	344
0	0	14800	14800
0.014999999999999999445	0.017000000000000001221	14800	14800
0.0020000000000000000416	0.017000000000000001221	466	768
0.016000000000000000333	0.017000000000000001221	14800	14800
0.012999999999999999403	0.017000000000000001221	696	696
0.010000000000000000208	0.017000000000000001221	490	828
0	0	14800	14800
0.0010000000000000000208	0	14800	14800
0	0	14800	14800
0.014000000000000000291	0.01799999999999999864	14800	14800
0.014000000000000000291	0.017000000000000001221	14800	14800
0	0	14800	14800
0	0.01799999999999999864	212	212
